😀,b'\\U0001F600',grinning face face grin
😁,b'\\U0001F601',grinning face with smiling eyes eye face grin smile
😂,b'\\U0001F602',face with tears of joy face joy laugh tear
🤣,b'\\U0001F923',rolling on the floor laughing face floor laugh rolling
😃,b'\\U0001F603',smiling face with open mouth face mouth open smile
😄,b'\\U0001F604',smiling face with open mouth & smiling eyes eye face mouth open smile
😅,b'\\U0001F605',smiling face with open mouth & cold sweat cold face open smile sweat
😆,b'\\U0001F606',smiling face with open mouth & closed eyes face laugh mouth open satisfied smile
😉,b'\\U0001F609',winking face face wink
😊,b'\\U0001F60A',smiling face with smiling eyes blush eye face smile
😋,b'\\U0001F60B',face savouring delicious food delicious face savouring smile um yum
😎,b'\\U0001F60E',smiling face with sunglasses bright cool eye eyewear face glasses smile sun sunglasses
😍,b'\\U0001F60D',smiling face with heart-eyes eye face love smile
😘,b'\\U0001F618',face blowing a kiss face kiss
😗,b'\\U0001F617',kissing face face kiss
😙,b'\\U0001F619',kissing face with smiling eyes eye face kiss smile
😚,b'\\U0001F61A',kissing face with closed eyes closed eye face kiss
☺,b'\\U0000263A',smiling face face outlined relaxed smile
🙂,b'\\U0001F642',slightly smiling face face smile
🤗,b'\\U0001F917',hugging face face hug hugging
🤔,b'\\U0001F914',thinking face face thinking
😐,b'\\U0001F610',neutral face deadpan face neutral
😑,b'\\U0001F611',expressionless face expressionless face inexpressive unexpressive
😶,b'\\U0001F636',face without mouth face mouth quiet silent
🙄,b'\\U0001F644',face with rolling eyes eyes face rolling
😏,b'\\U0001F60F',smirking face face smirk
😣,b'\\U0001F623',persevering face face persevere
😥,b'\\U0001F625',disappointed but relieved face disappointed face relieved whew
😮,b'\\U0001F62E',face with open mouth face mouth open sympathy
🤐,b'\\U0001F910',zipper-mouth face face mouth zipper
😯,b'\\U0001F62F',hushed face face hushed stunned surprised
😪,b'\\U0001F62A',sleepy face face sleep
😫,b'\\U0001F62B',tired face face tired
😴,b'\\U0001F634',sleeping face face sleep zzz
😌,b'\\U0001F60C',relieved face face relieved
🤓,b'\\U0001F913',nerd face face geek nerd
😛,b'\\U0001F61B',face with stuck-out tongue face tongue
😜,b'\\U0001F61C',face with stuck-out tongue & winking eye eye face joke tongue wink
😝,b'\\U0001F61D',face with stuck-out tongue & closed eyes eye face horrible taste tongue
🤤,b'\\U0001F924',drooling face drooling face
😒,b'\\U0001F612',unamused face face unamused unhappy
😓,b'\\U0001F613',face with cold sweat cold face sweat
😔,b'\\U0001F614',pensive face dejected face pensive
😕,b'\\U0001F615',confused face confused face
🙃,b'\\U0001F643',upside-down face face upside-down
🤑,b'\\U0001F911',money-mouth face face money mouth
😲,b'\\U0001F632',astonished face astonished face shocked totally
☹,b'\\U00002639',frowning face face frown
🙁,b'\\U0001F641',slightly frowning face face frown
😖,b'\\U0001F616',confounded face confounded face
😞,b'\\U0001F61E',disappointed face disappointed face
😟,b'\\U0001F61F',worried face face worried
😤,b'\\U0001F624',face with steam from nose face triumph won
😢,b'\\U0001F622',crying face cry face sad tear
😭,b'\\U0001F62D',loudly crying face cry face sad sob tear
😦,b'\\U0001F626',frowning face with open mouth face frown mouth open
😧,b'\\U0001F627',anguished face anguished face
😨,b'\\U0001F628',fearful face face fear fearful scared
😩,b'\\U0001F629',weary face face tired weary
😬,b'\\U0001F62C',grimacing face face grimace
😰,b'\\U0001F630',face with open mouth & cold sweat blue cold face mouth open rushed sweat
😱,b'\\U0001F631',face screaming in fear face fear fearful munch scared scream
😳,b'\\U0001F633',flushed face dazed face flushed
😵,b'\\U0001F635',dizzy face dizzy face
😡,b'\\U0001F621',pouting face angry face mad pouting rage red
😠,b'\\U0001F620',angry face angry face mad
😇,b'\\U0001F607',smiling face with halo angel face fairy tale fantasy halo innocent smile
🤠,b'\\U0001F920',cowboy hat face cowboy cowgirl face hat
🤡,b'\\U0001F921',clown face clown face
🤥,b'\\U0001F925',lying face face lie pinocchio
😷,b'\\U0001F637',face with medical mask cold doctor face mask medicine sick
🤒,b'\\U0001F912',face with thermometer face ill sick thermometer
🤕,b'\\U0001F915',face with head-bandage bandage face hurt injury
🤢,b'\\U0001F922',nauseated face face nauseated vomit
🤧,b'\\U0001F927',sneezing face face gesundheit sneeze
😈,b'\\U0001F608',smiling face with horns face fairy tale fantasy horns smile
👿,b'\\U0001F47F',angry face with horns demon devil face fairy tale fantasy imp
👹,b'\\U0001F479',ogre creature face fairy tale fantasy Japanese monster
👺,b'\\U0001F47A',goblin creature face fairy tale fantasy Japanese monster
💀,b'\\U0001F480',skull death face fairy tale monster
☠,b'\\U00002620',skull and crossbones crossbones death face monster skull
👻,b'\\U0001F47B',ghost creature face fairy tale fantasy monster
👽,b'\\U0001F47D',alien creature extraterrestrial face fairy tale fantasy monster ufo
👾,b'\\U0001F47E',alien monster alien creature extraterrestrial face fairy tale fantasy monster ufo
🤖,b'\\U0001F916',robot face face monster robot
💩,b'\\U0001F4A9',pile of poo comic dung face monster poo poop
😺,b'\\U0001F63A',smiling cat face with open mouth cat face mouth open smile
😸,b'\\U0001F638',grinning cat face with smiling eyes cat eye face grin smile
😹,b'\\U0001F639',cat face with tears of joy cat face joy tear
😻,b'\\U0001F63B',smiling cat face with heart-eyes cat eye face love smile
😼,b'\\U0001F63C',cat face with wry smile cat face ironic smile wry
😽,b'\\U0001F63D',kissing cat face with closed eyes cat eye face kiss
🙀,b'\\U0001F640',weary cat face cat face oh surprised weary
😿,b'\\U0001F63F',crying cat face cat cry face sad tear
😾,b'\\U0001F63E',pouting cat face cat face pouting
🙈,b'\\U0001F648',see-no-evil monkey evil face forbidden gesture monkey no not prohibited see
🙉,b'\\U0001F649',hear-no-evil monkey evil face forbidden gesture hear monkey no not prohibited
🙊,b'\\U0001F64A',speak-no-evil monkey evil face forbidden gesture monkey no not prohibited speak
👦,b'\\U0001F466',boy boy young
👦🏻,b'\\U0001F466\\U0001F3FB',boy: light skin tone boy light skin tone young
👦🏼,b'\\U0001F466\\U0001F3FC',boy: medium-light skin tone boy medium-light skin tone young
👦🏽,b'\\U0001F466\\U0001F3FD',boy: medium skin tone boy medium skin tone young
👦🏾,b'\\U0001F466\\U0001F3FE',boy: medium-dark skin tone boy medium-dark skin tone young
👦🏿,b'\\U0001F466\\U0001F3FF',boy: dark skin tone boy dark skin tone young
👧,b'\\U0001F467',girl Virgo young zodiac
👧🏻,b'\\U0001F467\\U0001F3FB',girl: light skin tone light skin tone Virgo young zodiac
👧🏼,b'\\U0001F467\\U0001F3FC',girl: medium-light skin tone medium-light skin tone Virgo young zodiac
👧🏽,b'\\U0001F467\\U0001F3FD',girl: medium skin tone medium skin tone Virgo young zodiac
👧🏾,b'\\U0001F467\\U0001F3FE',girl: medium-dark skin tone medium-dark skin tone Virgo young zodiac
